基金代码,基金全称,基金简称,基金类型,发行日期,成立日期/规模,资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,最高申购费率,最高赎回费率,业绩比较基准,跟踪标的
001998,工银瑞信新焦点灵活配置混合型证券投资基金,工银新焦点混合C,混合型-灵活,2016年08月31日,2016年10月10日 / 6.464亿份,0.46亿元,0.1567亿份,工银瑞信基金,招商银行,李劭钊,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.60%（每年）,0.00%,0.00%,1.50%,45%×一年期人民币定期存款基准利率(税后)+40%×中证800指数收益率+15%×恒生指数收益率(经汇率调整),该基金无跟踪标的
002036,安信优势增长灵活配置混合型证券投资基金,安信优势增长混合C,混合型-灵活,2015年05月11日,2015年11月17日 / --,13.06亿元,3.7775亿份,安信基金,招商证券,聂世林,每份累计0.39元,1.00%（每年）,0.20%（每年）,0.20%（每年）,---,0.00%,1.50%,沪深300指数收益率×50%+中证综合债券指数收益率×50%,该基金无跟踪标的
002051,诺安创新驱动灵活配置混合型证券投资基金,诺安创新驱动混合C,混合型-灵活,2015年06月04日,2015年11月18日 / --,3.83亿元,2.7765亿份,诺安基金,工商银行,左少逸,每份累计0.12元,0.60%（每年）,0.20%（每年）,0.10%（每年）,0.00%,1.50%,1.50%,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的
002052,诺安稳健回报灵活配置混合型证券投资基金,诺安稳健回报混合C,混合型-灵活,2014年08月13日,2015年11月18日 / --,10.75亿元,5.1419亿份,诺安基金,工商银行,邓心怡,每份累计0.17元,0.60%（每年）,0.20%（每年）,0.10%（每年）,---,1.50%,1.50%,沪深300指数*60%+中证全债指数*40%,该基金无跟踪标的
002096,博时新收益灵活配置混合型证券投资基金,博时新收益C,混合型-灵活,2016年01月27日,2016年02月04日 / 5.018亿份,7.72亿元,4.4647亿份,博时基金,招商银行,过钧,每份累计0.74元,0.50%（每年）,0.15%（每年）,0.10%（每年）,0.60%,0.80%,1.50%,沪深300指数收益率×50%+中证综合债指数收益率×50%,该基金无跟踪标的
002112,德邦鑫星价值灵活配置混合型证券投资基金,德邦鑫星价值灵活配置混合C,混合型-灵活,2015年06月08日,2015年11月16日 / --,71.50亿元,22.3627亿份,德邦基金,交通银行,雷涛、陆阳,每份累计0.15元,0.70%（每年）,0.15%（每年）,0.10%（每年）,---,0.00%,1.50%,一年期银行定期存款利率(税后),该基金无跟踪标的
002157,长盛盛世灵活配置混合型证券投资基金,长盛盛世混合C,混合型-灵活,2015年11月24日,2015年12月11日 / 3.822亿份,0.16亿元,0.1034亿份,长盛基金,建设银行,李琪、王远鸿,每份累计0.23元,0.60%（每年）,0.20%（每年）,0.20%（每年）,1.20%,1.50%,1.50%,50%*沪深300指数收益率+50%*中证综合债指数收益率,该基金无跟踪标的
002158,汇添富安鑫智选灵活配置混合型证券投资基金,汇添富安鑫智选混合C,混合型-灵活,2015年11月23日,2015年11月26日 / 24.062亿份,0.06亿元,0.0512亿份,汇添富基金,工商银行,李超,每份累计0.34元,0.90%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*50%+中债综合指数收益率*50%,该基金无跟踪标的
002163,东方惠新灵活配置混合型证券投资基金,东方惠新灵活配置混合C,混合型-灵活,2015年11月18日,2015年11月20日 / --,0.82亿元,0.5198亿份,东方基金,建设银行,严凯,每份累计1.24元,0.70%（每年）,0.20%（每年）,0.30%（每年）,---,0.00%,1.50%,沪深300指数收益率×45%+中债总指数收益率×55%,该基金无跟踪标的
002170,东吴移动互联灵活配置混合型证券投资基金,东吴移动互联混合C,混合型-灵活,2015年05月18日,2015年11月26日 / --,50.42亿元,8.3202亿份,东吴基金,平安银行,刘元海,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.20%（每年）,---,0.00%,1.50%,中证移动互联网指数×50% +中债综合指数×50%,该基金无跟踪标的
002207,前海开源金银珠宝主题精选灵活配置混合型证券投资基金,前海开源金银珠宝混合C,混合型-灵活,2015年06月01日,2015年12月02日 / --,26.46亿元,10.8612亿份,前海开源基金,中信证券,吴国清,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.10%（每年）,---,0.00%,1.50%,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的
002233,工银瑞信丰收回报灵活配置混合型证券投资基金,工银丰收回报灵活配置混合C,混合型-灵活,2015年09月24日,2015年12月03日 / --,1.54亿元,0.6744亿份,工银瑞信基金,广发银行,郭雪松,每份累计0.00元,0.40%（每年）,0.10%（每年）,0.40%（每年）,---,0.00%,1.50%,30%×沪深300指数收益率+70%×中债综合指数收益率,该基金无跟踪标的
002316,创金合信中证500指数增强型发起式证券投资基金,创金合信中证500指数增强C,指数型-股票,2015年12月29日,2015年12月31日 / 0.100亿份,2.76亿元,1.8824亿份,创金合信基金,招商银行,董梁、李添峰,每份累计0.22元,0.80%（每年）,0.10%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+ 一年期人民币定期存款利率(税后)×5%,中证500指数
002333,汇丰晋信沪港深股票型证券投资基金,汇丰晋信沪港深C,股票型,2016年10月10日,2016年11月10日 / 12.451亿份,3.87亿元,2.4774亿份,汇丰晋信基金,交通银行,闵良超,每份累计0.06元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×45% + 恒生指数收益率×45% +同业存款利率(税后)×10%,该基金无跟踪标的
002451,平安睿享文娱灵活配置混合型证券投资基金,平安睿享文娱混合C,混合型-灵活,2016年02月29日,2016年03月29日 / 3.999亿份,4.76亿元,1.6699亿份,平安基金,广发证券,黄维,每份累计0.39元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×50%+中证综合债指数收益率×50%,该基金无跟踪标的
002686,中欧丰泓沪港深灵活配置混合型证券投资基金,中欧丰泓沪港深混合C,混合型-灵活,2016年09月30日,2016年11月08日 / 6.408亿份,1.87亿元,1.2924亿份,中欧基金,工商银行,罗佳明,每份累计0.35元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证港股通综合指数收益率(人民币)*80%+沪深300指数收益率*10%+中证短债指数收益率*10%,该基金无跟踪标的
002771,安信新回报灵活配置混合型证券投资基金,安信新回报混合C,混合型-灵活,2016年05月04日,2016年05月09日 / 5.011亿份,2.97亿元,0.6373亿份,安信基金,宁波银行,陈鹏,每份累计0.05元,0.80%（每年）,0.10%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,50%*沪深300指数收益率+50%*中债总指数(全价)收益率,该基金无跟踪标的
002974,广发中证全指信息技术交易型开放式指数证券投资基金发起式联接基金,广发信息技术联接C,指数型-股票,2015年01月05日,2016年07月06日 / --,3.30亿元,1.9639亿份,广发基金,中国银行,霍华明,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.20%（每年）,---,0.00%,1.50%,中证全指信息技术指数收益率*95%+银行活期存款利率(税后)*5%,中证全指信息技术指数
003070,光大保德信创业板量化优选股票型证券投资基金,光大创业板量化优选C,股票型,2017年12月22日,2020年01月02日 / --,1.11亿元,0.6388亿份,光大保德信基金,建设银行,王卫林,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,90%×创业板综合指数收益率+10%×银行活期存款利率(税后),该基金无跟踪标的
003305,前海开源沪港深核心资源灵活配置混合型证券投资基金,前海开源沪港深核心资源混合C,混合型-灵活,2016年09月06日,2016年10月17日 / 2.603亿份,16.07亿元,3.4043亿份,前海开源基金,交通银行,吴国清,每份累计0.03元,0.60%（每年）,0.10%（每年）,0.10%（每年）,1.20%,1.50%,1.50%,沪深300指数收益率×70%+中证全债指数收益率×30%,该基金无跟踪标的
003578,中金中证500指数增强型发起式证券投资基金,中金中证500指数增强C,指数型-股票,2016年11月25日,2016年11月28日 / --,2.54亿元,1.1526亿份,中金基金,工商银行,耿帅军,每份累计0.00元,0.50%（每年）,0.15%（每年）,0.40%（每年）,---,0.00%,1.50%,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数
003625,创金合信资源主题精选股票型发起式证券投资基金,创金合信资源股票发起式C,股票型,2016年10月25日,2016年11月02日 / 0.102亿份,4.47亿元,1.3173亿份,创金合信基金,工商银行,李游、黄超,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证内地资源指数收益率×90%+人民币活期存款利率(税后)×10%,该基金无跟踪标的
003761,国泰中证500指数增强型证券投资基金,国泰中证500指数增强C,指数型-股票,2017年04月28日,2017年08月01日 / 2.054亿份,0.09亿元,0.0634亿份,国泰基金,宁波银行,吴中昊,每份累计0.06元,1.00%（每年）,0.10%（每年）,0.01%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+同期银行活期存款利率(税后)×5%,中证500指数
003766,广发创业板交易型开放式指数证券投资基金发起式联接基金,广发创业板ETF发起式联接C,指数型-股票,2017年04月27日,2017年05月25日 / 0.256亿份,30.34亿元,17.3838亿份,广发基金,工商银行,刘杰,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+银行活期存款利率(税后)*5%,创业板指数(价格)
003858,前海开源周期优选灵活配置混合型证券投资基金,前海开源周期优选混合C,混合型-灵活,2016年12月19日,2017年01月25日 / 2.860亿份,0.51亿元,0.1565亿份,前海开源基金,交通银行,刘宏,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.10%（每年）,1.20%,1.50%,1.50%,沪深300指数收益率×70%+中证全债指数收益率×30%,该基金无跟踪标的
004193,招商中证500指数增强型证券投资基金,招商中证500指数增强C,指数型-股票,2017年03月06日,2017年05月17日 / 3.329亿份,2.02亿元,1.1428亿份,招商基金,中国银行,邓童,每份累计0.00元,1.20%（每年）,0.15%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证500指数收益率×95%+同期银行活期存款利率(税后)×5%,中证500指数
004195,招商中证1000指数增强型证券投资基金,招商中证1000指数增强C,指数型-股票,2017年01月17日,2017年03月03日 / 2.010亿份,6.40亿元,3.1281亿份,招商基金,中国银行,蔡振,每份累计0.00元,1.20%（每年）,0.15%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证1000指数收益率×95%+同期银行活期存款利率(税后)×5%,中证1000指数
004231,中欧行业成长混合型证券投资基金(LOF),中欧行业成长混合(LOF)C,混合型-偏股,2009年12月01日,2017年01月12日 / --,2.21亿元,1.0321亿份,中欧基金,邮储银行,王培、尹为醇,每份累计0.20元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,沪深300指数收益率×75%+中债综合指数收益率×25%,该基金无跟踪标的
004232,中欧价值发现混合型证券投资基金,中欧价值发现混合C,混合型-偏股,2009年06月18日,2017年01月12日 / --,1.58亿元,0.578亿份,中欧基金,建设银行,柳世庆,每份累计1.03元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,80%×沪深300指数+20%×上证国债指数,该基金无跟踪标的
004234,中欧数据挖掘多因子灵活配置混合型证券投资基金,中欧数据挖掘多因子混合C,混合型-灵活,2015年12月16日,2017年01月19日 / --,4.74亿元,2.2216亿份,中欧基金,工商银行,曲径,每份累计0.35元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,中证500指数收益率*95%+中债综合指数收益率*5%,该基金无跟踪标的
004235,中欧价值智选回报混合型证券投资基金,中欧价值智选混合C,混合型-灵活,2013年05月08日,2017年01月19日 / --,22.88亿元,4.5055亿份,中欧基金,工商银行,袁维德,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,金融机构人民币三年期定期存款基准利率(税后),该基金无跟踪标的
004237,中欧新蓝筹灵活配置混合型证券投资基金,中欧新蓝筹混合C,混合型-偏股,2008年06月02日,2017年01月12日 / --,14.36亿元,5.3183亿份,中欧基金,建设银行,周蔚文、冯炉丹,每份累计0.49元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,60%×沪深300指数+35%×上证国债指数+5%×一年期定期存款利率,该基金无跟踪标的
004241,中欧时代先锋股票型发起式证券投资基金,中欧时代先锋股票C,股票型,2015年10月26日,2017年01月19日 / --,21.82亿元,12.4363亿份,中欧基金,工商银行,周蔚文、罗佳明,每份累计1.09元,1.20%（每年）,0.20%（每年）,0.80%（每年）,---,0.00%,1.50%,90%×中证500指数收益率+10%×中证综合债券指数收益率,该基金无跟踪标的
004343,南方创业板交易型开放式指数证券投资基金联接基金,南方创业板ETF联接C,指数型-股票,2016年05月04日,2017年02月23日 / --,14.38亿元,8.7545亿份,南方基金,中国银行,孙伟,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.40%（每年）,---,0.00%,1.50%,创业板指数收益率*95%+银行人民币活期存款利率(税后)*5%,创业板指数(价格)
004347,南方中证500信息技术指数交易型开放式指数证券投资基金发起式联接基金,南方中证500信息技术联接C,指数型-股票,2016年07月18日,2017年02月23日 / --,2.70亿元,1.6716亿份,南方基金,农业银行,孙伟,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.40%（每年）,---,0.00%,1.50%,中证500信息技术指数收益率*95%+银行人民币活期存款利率(税后)*5%,中证500信息技术指数
004348,南方中证500交易型开放式指数证券投资基金联接基金(LOF),南方中证500ETF联接(LOF)C,指数型-股票,2016年07月18日,2017年02月23日 / --,5.81亿元,2.8831亿份,南方基金,农业银行,罗文杰,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.40%（每年）,---,0.00%,1.50%,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数
004391,平安转型创新灵活配置混合型证券投资基金,平安转型创新混合C,混合型-灵活,2017年02月21日,2017年04月14日 / 2.317亿份,2.16亿元,0.5577亿份,平安基金,平安银行,神爱前,每份累计0.09元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×50%+中证综合债指数收益率×50%,该基金无跟踪标的
004409,招商深证电子信息传媒产业(TMT)50交易型开放式指数证券投资基金联接基金,招商深证TMT50ETF联接C,指数型-股票,2011年05月16日,2017年02月23日 / --,2.60亿元,0.9232亿份,招商基金,中国银行,侯昊,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.40%（每年）,---,0.00%,1.50%,深证TMT50指数收益率×95%+商业银行活期存款利率(税后)×5%,深证电子信息传媒产业50指数
004433,南方中证申万有色金属交易型开放式指数证券投资基金发起式联接基金,南方中证申万有色金属ETF发起联接C,指数型-股票,2017年06月02日,2017年09月08日 / 0.259亿份,15.96亿元,9.9616亿份,南方基金,工商银行,崔蕾,每份累计0.02元,0.50%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证申万有色金属指数收益率×95%+银行人民币活期存款利率(税后)×5%,有色金属
004435,博时逆向投资混合型证券投资基金,博时逆向投资混合C,混合型-偏股,2017年03月13日,2017年04月14日 / 9.320亿份,0.31亿元,0.1583亿份,博时基金,中国银行,李喆,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*30%,该基金无跟踪标的
004497,前海开源多元策略灵活配置混合型证券投资基金,前海开源多元策略混合C,混合型-灵活,2017年03月28日,2017年07月03日 / 2.024亿份,3.72亿元,1.3982亿份,前海开源基金,交通银行,叶嘉,每份累计0.59元,0.70%（每年）,0.10%（每年）,0.10%（每年）,1.20%,0.00%,1.50%,中证500指数收益率×50%+恒生指数收益率×20%+中证全债指数收益率×30%,该基金无跟踪标的
004719,景顺长城睿成灵活配置混合型证券投资基金,景顺长城睿成混合C,混合型-灵活,2017年10月30日,2017年11月10日 / 2.517亿份,1.12亿元,0.5555亿份,景顺长城基金,工商银行,王勇,每份累计0.00元,0.60%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,50%×沪深300指数收益率+50%×中证全债指数收益率,该基金无跟踪标的
004744,易方达创业板交易型开放式指数证券投资基金联接基金,易方达创业板ETF联接C,指数型-股票,2011年08月15日,2017年06月02日 / --,44.87亿元,13.9235亿份,易方达基金,工商银行,成曦、刘树荣,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.25%（每年）,---,0.00%,1.50%,创业板指数收益率×95%+活期存款利率(税后)×5%,创业板指数(价格)
004815,中欧红利优享灵活配置混合型证券投资基金,中欧红利优享混合C,混合型-灵活,2018年01月17日,2018年04月19日 / 2.440亿份,71.70亿元,34.931亿份,中欧基金,招商银行,蓝小康,每份累计0.27元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证沪港深高股息精选指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的
004819,国寿安保目标策略灵活配置混合型发起式证券投资基金,国寿安保目标策略混合发起C,混合型-灵活,2017年10月16日,2017年10月24日 / 2.420亿份,0.58亿元,0.3488亿份,国寿安保基金,广发银行,张琦,每份累计0.00元,0.60%（每年）,0.10%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*60%+中证全债指数收益率*40%,该基金无跟踪标的
004870,融通创业板指数增强型证券投资基金,融通创业板指数C,指数型-股票,2012年03月05日,2017年07月05日 / --,1.13亿元,1.0441亿份,融通基金,工商银行,蔡志伟、吕寒,每份累计0.39元,1.00%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,创业板指数收益率×95%+ 银行活期存款利率×5%,创业板指数(价格)
004875,融通深证成份指数证券投资基金,融通深证成份指数C,指数型-股票,2010年10月11日,2017年07月05日 / --,0.22亿元,0.1636亿份,融通基金,工商银行,蔡志伟,每份累计0.02元,1.00%（每年）,0.20%（每年）,0.40%（每年）,---,0.00%,1.50%,深证成份指数收益率×95%+ 银行活期存款利率×5%,深证成份指数(价格)
005187,长安鑫兴灵活配置混合型证券投资基金,长安鑫兴混合C,混合型-灵活,2017年10月27日,2017年11月29日 / 4.208亿份,0.12亿元,0.0422亿份,长安基金,广发银行,张云凯,每份累计0.00元,1.00%（每年）,0.10%（每年）,0.15%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率*50%+中债综合指数收益率*50%,该基金无跟踪标的
005198,工银瑞信沪港深精选灵活配置混合型证券投资基金,工银沪港深精选混合C,混合型-灵活,2017年10月11日,2017年11月09日 / 16.616亿份,0.43亿元,0.4286亿份,工银瑞信基金,农业银行,耿家琛,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,50%×恒生指数收益率+50%×中债综合财富(总值)指数,该基金无跟踪标的
005245,国泰聚优价值灵活配置混合型证券投资基金,国泰聚优价值灵活配置混合C,混合型-灵活,2017年10月30日,2017年11月15日 / 31.554亿份,2.41亿元,1.2514亿份,国泰基金,招商银行,程洲,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×60%+中债综合指数收益率×40%,该基金无跟踪标的
005287,海富通创业板综指增强型发起式证券投资基金,海富通创业板增强C,指数型-股票,2018年01月12日,2018年04月08日 / 0.398亿份,0.96亿元,0.573亿份,海富通基金,工商银行,杜晓海,每份累计0.29元,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,创业板综合指数收益率×95%+银行人民币活期存款利率×5%,创业板综合指数
005300,万家成长优选灵活配置混合型证券投资基金,万家成长优选混合C,混合型-灵活,2018年01月03日,2018年02月01日 / 2.559亿份,7.25亿元,1.8428亿份,万家基金,兴业银行,耿嘉洲,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×50% +上证国债指数收益率×50%,该基金无跟踪标的
005374,中加紫金灵活配置混合型证券投资基金,中加紫金灵活配置混合C,混合型-灵活,2018年03月05日,2018年04月04日 / 2.060亿份,0.11亿元,0.0643亿份,中加基金,光大银行,林沐尘,每份累计0.06元,0.60%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证800指数收益率×40%+恒生指数收益率×30%+中证综合债指数收益率×30%,该基金无跟踪标的
005391,工银瑞信创业板交易型开放式指数证券投资基金联接基金,工银创业板ETF联接C,指数型-股票,2018年01月08日,2018年03月21日 / 5.339亿份,3.15亿元,1.7666亿份,工银瑞信基金,中国银行,赵栩,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.35%（每年）,0.00%,0.00%,1.50%,创业板指数收益率×95%+银行人民币活期存款利率(税后)×5%,创业板指数(价格)
005491,兴全合宜灵活配置混合型证券投资基金(LOF),兴全合宜混合(LOF)C,混合型-灵活,2018年01月16日,2020年01月31日 / --,19.09亿元,9.2904亿份,兴证全球基金,招商银行,谢治宇、薛怡然,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.60%（每年）,---,0.00%,1.50%,沪深300指数收益率×60%+恒生指数收益率×20%+中国债券总指数收益率×20%,该基金无跟踪标的
005494,鑫元价值精选灵活配置混合型证券投资基金,鑫元价值精选混合C,混合型-灵活,2017年12月25日,2018年01月23日 / 2.569亿份,1.01亿元,0.7612亿份,鑫元基金,交通银行,刘俊文,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×30%+恒生指数收益率×30%+中证综合债券指数收益率×40%,该基金无跟踪标的
005551,汇安成长优选灵活配置混合型证券投资基金,汇安成长优选混合C,混合型-灵活,2018年01月15日,2018年02月13日 / 2.197亿份,4.55亿元,2.1825亿份,汇安基金,工商银行,单柏霖,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×60%+上证国债指数收益率×40%,该基金无跟踪标的
005608,华宝中证500指数增强型发起式证券投资基金,华宝中证500增强C,指数型-股票,2018年04月02日,2018年04月19日 / 0.552亿份,0.24亿元,0.1706亿份,华宝基金,民生银行,喻银尤,每份累计0.00元,1.00%（每年）,0.12%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数
005627,富国中证高端制造指数增强型证券投资基金(LOF),富国中证高端制造指数增强型(LOF)C,指数型-股票,2022年01月21日,2022年01月25日 / --,0.88亿元,0.3664亿份,富国基金,建设银行,牛志冬,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.20%（每年）,---,0.00%,1.50%,中证高端制造主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,中证高端制造主题指数
005633,建信中证500指数增强型证券投资基金,建信中证500指数增强C,指数型-股票,2018年03月16日,2018年03月16日 / --,8.07亿元,2.5203亿份,建信基金,中信银行,叶乐天,每份累计0.00元,1.00%（每年）,0.20%（每年）,0.50%（每年）,---,0.00%,1.50%,中证500指数收益率*95%+商业银行活期存款利率(税前)*5%,中证500指数
005636,博时量化多策略股票型证券投资基金,博时量化多策略股票C,股票型,2018年03月05日,2018年04月03日 / 9.112亿份,2.24亿元,1.3984亿份,博时基金,招商银行,黄瑞庆,每份累计0.23元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证全指指数收益率×70%+恒生综合指数收益率×20%+中债综合财富(总值)指数收益率×10%,该基金无跟踪标的
005661,嘉实资源精选股票型发起式证券投资基金,嘉实资源精选股票C,股票型,2018年07月17日,2018年10月22日 / 0.373亿份,3.75亿元,0.9191亿份,嘉实基金,中国银行,刘杰,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证内地资源主题指数收益率×70%+中债综合财富指数收益率×10%+恒生能源行业指数收益率×10%+恒生原材料行业指数收益率×10%,该基金无跟踪标的
